"Date","Time","Time zone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"24/07/2025","05:09:08","AEST","Strava Inc","General Authorisation","Completed","AUD","-99.99","0.00","-99.99",,"","0.00","88A29204M23670739",""
"28/07/2025","09:09:40","AEST","THE ICONIC","General Authorisation","Pending","AUD","-76.00","0.00","-76.00",,"","0.00","0SN58195T7051523L",""
"28/07/2025","09:09:43","AEST","THE ICONIC","Express Checkout Payment","Completed","AUD","-76.00","0.00","-76.00",,"","-76.00","1UX13220AU6780343",""
"28/07/2025","09:09:43","AEST","","General Credit Card Deposit","Completed","AUD","76.00","0.00","76.00",,"","0.00","05A09771VC049643U",""
"28/07/2025","09:09:43","AEST","THE ICONIC","General Authorisation","Completed","AUD","-76.00","0.00","-76.00",,"","0.00","0SN58195T7051523L",""
"28/07/2025","13:03:03","AEST","UNIQLO Australia Pty. Ltd","General Authorisation","Pending","AUD","-169.40","0.00","-169.40",,"","0.00","4WX143631A682072V",""
"01/08/2025","00:58:46","AEST","UNIQLO Australia Pty. Ltd","Express Checkout Payment","Completed","AUD","-169.40","0.00","-169.40",,"","-169.40","9NV10227ME6387135",""
"01/08/2025","00:58:46","AEST","","General Credit Card Deposit","Completed","AUD","169.40","0.00","169.40",,"","0.00","2EA47490L5136153H",""
"01/08/2025","00:58:46","AEST","UNIQLO Australia Pty. Ltd","General Authorisation","Completed","AUD","-169.40","0.00","-169.40",,"","0.00","4WX143631A682072V",""
"05/08/2025","21:08:37","AEST","Trainer Road LLC","Pre-approved Payment Bill User Payment","Completed","USD","-21.99","0.00","-21.99",,"","-21.99","3WM81559UJ078342N",""
"05/08/2025","21:08:37","AEST","","General Credit Card Deposit","Completed","AUD","35.53","0.00","35.53",,"","35.53","6J620053PA203050M",""
"05/08/2025","21:08:37","AEST","","General Currency Conversion","Completed","AUD","-35.53","0.00","-35.53",0.61891599013771,"","0.00","98E725510B3039943",""
"05/08/2025","21:08:37","AEST","","General Currency Conversion","Completed","USD","21.99","0.00","21.99",,"","0.00","0PC62824808402624",""
"10/08/2025","12:32:35","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-5.99","0.00","-5.99",,"","-5.99","99T09608PB7212338",""
"10/08/2025","12:32:35","AEST","","General Credit Card Deposit","Completed","AUD","5.99","0.00","5.99",,"","0.00","92569463NC717223P",""
"12/08/2025","06:42:27","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","9YV64154JM909982F",""
"12/08/2025","06:42:27","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","7SK76267BD384161W",""
"17/08/2025","10:35:50","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-4.49","0.00","-4.49",,"","-4.49","53718165RB2414630",""
"17/08/2025","10:35:50","AEST","","General Credit Card Deposit","Completed","AUD","4.49","0.00","4.49",,"","0.00","9WB013887L0938530",""
"18/08/2025","02:26:18","AEST","ALDImobile","Pre-approved Payment Bill User Payment","Completed","AUD","-28.00","0.00","-28.00",,"","-28.00","092064413A1299138",""
"18/08/2025","02:26:18","AEST","","General Credit Card Deposit","Completed","AUD","28.00","0.00","28.00",,"","0.00","0L3401763B5846437",""
"18/08/2025","18:03:00","AEST","Dynalist Inc.","Pre-approved Payment Bill User Payment","Completed","CAD","-6.90","0.00","-6.90",,"","-6.90","0XF05996JE563002V",""
"18/08/2025","18:03:00","AEST","","General Credit Card Deposit","Completed","AUD","8.04","0.00","8.04",,"","8.04","52C91922RA293421A",""
